product,content,date_time,sentiment
OnePlus,Touchscreen on my OnePlus is unresponsive at times.,2016-09-13 10:06:05,negative
OnePlus,The camera on the OnePlus is disappointing.,2016-08-05 22:30:22,positive
Xiaomi,The Xiaomi is a great value for the price.,2016-08-18 01:26:02,neutral
Xiaomi,Just got my new Xiaomi! Loving it so far.,2016-07-08 19:13:15,positive
iPhone,Experiencing connectivity issues with the iPhone.,2016-07-04 18:55:33,positive
Xiaomi,The Xiaomi has exceeded my expectations!,2016-08-10 19:46:05,negative
iPhone,My iPhone is slower than expected.,2016-09-23 00:14:16,positive
Xiaomi,I regret buying the Xiaomi. Not worth the money.,2016-09-27 08:09:41,negative
Google Pixel,Battery life on the Google Pixel is excellent.,2016-07-12 02:48:27,negative
Xiaomi,The camera on the Xiaomi is disappointing.,2016-09-15 18:56:23,positive
Samsung Galaxy,Really happy with the performance of my new Samsung Galaxy.,2016-07-24 07:01:16,neutral
Xiaomi,Not too impressed with the Xiaomi. Expected more.,2016-07-01 20:49:41,positive
Samsung Galaxy,Not too impressed with the Samsung Galaxy. Expected more.,2016-07-12 18:04:09,positive
OnePlus,The OnePlus is really sleek and fast.,2016-07-21 12:06:32,positive
OnePlus,The camera quality on the OnePlus is amazing.,2016-08-10 03:52:54,negative
Samsung Galaxy,The Samsung Galaxy is really sleek and fast.,2016-08-15 14:17:35,positive
Google Pixel,Really happy with the performance of my new Google Pixel.,2016-07-07 22:29:56,negative
Google Pixel,The display on the Google Pixel is so vibrant and clear.,2016-07-23 18:11:04,neutral
OnePlus,Touchscreen on my OnePlus is unresponsive at times.,2016-08-15 04:15:54,negative
iPhone,I'm impressed with the build quality of the iPhone.,2016-09-02 22:17:45,negative
Google Pixel,The Google Pixel keeps crashing. Frustrated!,2016-07-18 12:09:29,positive
Xiaomi,Not too impressed with the Xiaomi. Expected more.,2016-07-08 23:06:06,negative
Xiaomi,The display on the Xiaomi is so vibrant and clear.,2016-09-23 15:26:44,positive
iPhone,Battery life on the iPhone is excellent.,2016-07-11 23:24:43,negative
Xiaomi,Why is my Xiaomi overheating?,2016-09-28 18:57:52,positive
iPhone,The iPhone has exceeded my expectations!,2016-08-28 07:43:05,positive
Xiaomi,Touchscreen on my Xiaomi is unresponsive at times.,2016-09-21 19:02:30,neutral
iPhone,Having some issues with my iPhone. Anyone else?,2016-09-18 10:57:34,negative
iPhone,My iPhone runs all my apps smoothly.,2016-09-27 18:46:19,positive
iPhone,I regret buying the iPhone. Not worth the money.,2016-09-02 13:29:38,positive
iPhone,Not too impressed with the iPhone. Expected more.,2016-08-14 08:04:26,positive
OnePlus,The OnePlus is a great value for the price.,2016-09-17 12:34:47,negative
Google Pixel,The Google Pixel is a great value for the price.,2016-09-20 00:12:31,negative
iPhone,Experiencing connectivity issues with the iPhone.,2016-07-17 01:06:41,negative
OnePlus,Having some issues with my OnePlus. Anyone else?,2016-09-12 04:41:59,negative
Samsung Galaxy,Why is my Samsung Galaxy overheating?,2016-07-22 02:05:33,positive
Samsung Galaxy,The camera on the Samsung Galaxy is disappointing.,2016-08-15 01:35:30,negative
iPhone,The iPhone has exceeded my expectations!,2016-08-20 04:27:46,positive
Xiaomi,The camera quality on the Xiaomi is amazing.,2016-07-24 13:29:24,negative
OnePlus,The display on the OnePlus is so vibrant and clear.,2016-08-14 00:13:56,positive
Samsung Galaxy,My Samsung Galaxy runs all my apps smoothly.,2016-09-15 19:12:21,negative
iPhone,The camera quality on the iPhone is amazing.,2016-09-13 14:58:06,positive
OnePlus,Battery life on the OnePlus could be better.,2016-09-19 15:21:08,neutral
OnePlus,My OnePlus runs all my apps smoothly.,2016-08-09 06:55:26,positive
Xiaomi,Battery life on the Xiaomi could be better.,2016-09-05 19:52:11,neutral
OnePlus,Experiencing connectivity issues with the OnePlus.,2016-07-18 16:17:30,neutral
Xiaomi,Not too impressed with the Xiaomi. Expected more.,2016-07-12 23:04:35,neutral
Xiaomi,Not too impressed with the Xiaomi. Expected more.,2016-08-01 18:10:09,negative
Samsung Galaxy,The Samsung Galaxy keeps crashing. Frustrated!,2016-09-08 05:10:40,neutral
OnePlus,Battery life on the OnePlus could be better.,2016-09-19 15:28:16,negative
OnePlus,The OnePlus is a great value for the price.,2016-09-13 01:23:41,negative
Samsung Galaxy,Not too impressed with the Samsung Galaxy. Expected more.,2016-09-02 18:17:07,negative
OnePlus,Battery life on the OnePlus could be better.,2016-09-03 05:41:49,neutral
OnePlus,The display on the OnePlus is so vibrant and clear.,2016-09-14 08:59:49,neutral
OnePlus,Battery life on the OnePlus is excellent.,2016-07-31 01:49:59,positive
iPhone,Battery life on the iPhone could be better.,2016-07-04 17:24:13,negative
OnePlus,Really happy with the performance of my new OnePlus.,2016-09-08 09:58:27,negative
Xiaomi,Not too impressed with the Xiaomi. Expected more.,2016-08-25 20:53:13,negative
iPhone,I'm impressed with the build quality of the iPhone.,2016-08-20 02:56:53,negative
Samsung Galaxy,Just got my new Samsung Galaxy! Loving it so far.,2016-08-22 03:21:00,negative
iPhone,Not too impressed with the iPhone. Expected more.,2016-08-22 23:11:53,positive
OnePlus,My OnePlus runs all my apps smoothly.,2016-08-03 21:46:07,negative
Samsung Galaxy,Battery life on the Samsung Galaxy could be better.,2016-08-30 18:37:44,neutral
iPhone,The iPhone keeps crashing. Frustrated!,2016-07-16 10:02:23,positive
iPhone,I'm impressed with the build quality of the iPhone.,2016-09-05 14:03:47,negative
OnePlus,The camera on the OnePlus is disappointing.,2016-09-28 09:01:12,neutral
Google Pixel,My Google Pixel runs all my apps smoothly.,2016-07-26 10:45:24,negative
iPhone,The display on the iPhone is so vibrant and clear.,2016-07-24 15:20:09,neutral
Google Pixel,Really happy with the performance of my new Google Pixel.,2016-08-15 09:11:45,positive
Google Pixel,The camera on the Google Pixel is disappointing.,2016-07-30 03:33:59,neutral
OnePlus,Experiencing connectivity issues with the OnePlus.,2016-09-16 14:46:19,positive
Samsung Galaxy,My Samsung Galaxy runs all my apps smoothly.,2016-08-05 11:13:21,neutral
Samsung Galaxy,Having some issues with my Samsung Galaxy. Anyone else?,2016-07-21 14:19:40,negative
Samsung Galaxy,Just got my new Samsung Galaxy! Loving it so far.,2016-07-08 21:09:53,neutral
Google Pixel,Just got my new Google Pixel! Loving it so far.,2016-07-01 06:47:57,negative
Xiaomi,Really happy with the performance of my new Xiaomi.,2016-08-22 06:13:17,neutral
Xiaomi,The Xiaomi is really sleek and fast.,2016-09-13 01:27:41,negative
Google Pixel,Really happy with the performance of my new Google Pixel.,2016-07-02 08:05:13,neutral
Samsung Galaxy,Experiencing connectivity issues with the Samsung Galaxy.,2016-07-14 20:26:45,neutral
Samsung Galaxy,Battery life on the Samsung Galaxy could be better.,2016-07-28 06:28:53,neutral
Xiaomi,Battery life on the Xiaomi is excellent.,2016-08-18 14:18:03,neutral
Google Pixel,Touchscreen on my Google Pixel is unresponsive at times.,2016-08-14 17:39:36,negative
Xiaomi,My Xiaomi is slower than expected.,2016-08-15 17:35:46,positive
Google Pixel,My Google Pixel is slower than expected.,2016-07-01 13:10:37,positive
Google Pixel,I'm impressed with the build quality of the Google Pixel.,2016-08-12 21:39:06,negative
iPhone,Having some issues with my iPhone. Anyone else?,2016-09-12 16:50:13,neutral
Xiaomi,Experiencing connectivity issues with the Xiaomi.,2016-09-15 19:19:08,positive
iPhone,The iPhone is a great value for the price.,2016-07-28 15:30:49,neutral
Google Pixel,Why is my Google Pixel overheating?,2016-08-14 07:04:50,neutral
Xiaomi,The Xiaomi is a great value for the price.,2016-08-12 04:05:00,positive
Google Pixel,The camera quality on the Google Pixel is amazing.,2016-09-22 04:12:31,neutral
Xiaomi,Battery life on the Xiaomi could be better.,2016-07-04 17:20:32,negative
Samsung Galaxy,Touchscreen on my Samsung Galaxy is unresponsive at times.,2016-07-17 13:37:22,neutral
Xiaomi,The Xiaomi keeps crashing. Frustrated!,2016-07-31 18:15:27,positive
OnePlus,The OnePlus is really sleek and fast.,2016-08-30 02:59:07,neutral
Xiaomi,My Xiaomi runs all my apps smoothly.,2016-08-01 11:58:01,neutral
OnePlus,Not too impressed with the OnePlus. Expected more.,2016-08-07 19:54:37,positive
Samsung Galaxy,Touchscreen on my Samsung Galaxy is unresponsive at times.,2016-08-17 17:59:45,positive
OnePlus,Just got my new OnePlus! Loving it so far.,2016-08-04 09:23:42,neutral
Samsung Galaxy,Experiencing connectivity issues with the Samsung Galaxy.,2016-09-05 18:10:09,negative
iPhone,Why is my iPhone overheating?,2016-08-30 18:27:55,positive
OnePlus,I regret buying the OnePlus. Not worth the money.,2016-07-30 22:07:08,neutral
Samsung Galaxy,The Samsung Galaxy keeps crashing. Frustrated!,2016-09-04 20:31:29,neutral
iPhone,The iPhone is really sleek and fast.,2016-08-02 13:43:18,positive
Google Pixel,I'm impressed with the build quality of the Google Pixel.,2016-07-31 12:32:58,negative
iPhone,Really happy with the performance of my new iPhone.,2016-07-23 02:26:41,negative
Google Pixel,Why is my Google Pixel overheating?,2016-07-15 01:13:23,neutral
Xiaomi,Battery life on the Xiaomi is excellent.,2016-09-15 20:27:47,positive
Google Pixel,Why is my Google Pixel overheating?,2016-08-31 01:17:22,negative
Samsung Galaxy,The display on the Samsung Galaxy is so vibrant and clear.,2016-07-19 20:26:39,neutral
OnePlus,The OnePlus is really sleek and fast.,2016-07-07 17:04:55,negative
Samsung Galaxy,Touchscreen on my Samsung Galaxy is unresponsive at times.,2016-09-21 07:01:44,neutral
iPhone,Touchscreen on my iPhone is unresponsive at times.,2016-07-01 20:55:20,positive
OnePlus,Touchscreen on my OnePlus is unresponsive at times.,2016-08-01 15:06:02,neutral
Google Pixel,Not too impressed with the Google Pixel. Expected more.,2016-08-11 23:00:51,negative
Samsung Galaxy,Why is my Samsung Galaxy overheating?,2016-07-29 16:57:36,neutral
Google Pixel,Having some issues with my Google Pixel. Anyone else?,2016-08-25 03:35:39,neutral
Xiaomi,The camera on the Xiaomi is disappointing.,2016-09-20 14:27:53,negative
OnePlus,The camera quality on the OnePlus is amazing.,2016-09-14 07:33:05,positive
OnePlus,The camera quality on the OnePlus is amazing.,2016-07-31 21:47:38,negative
Samsung Galaxy,Not too impressed with the Samsung Galaxy. Expected more.,2016-09-11 21:41:54,neutral
OnePlus,Battery life on the OnePlus could be better.,2016-07-31 17:36:12,neutral
OnePlus,Battery life on the OnePlus is excellent.,2016-09-10 02:24:15,neutral
iPhone,Battery life on the iPhone is excellent.,2016-09-07 20:46:20,negative
Xiaomi,The Xiaomi has exceeded my expectations!,2016-07-24 08:55:28,negative
iPhone,Battery life on the iPhone could be better.,2016-07-09 16:03:31,negative
iPhone,Experiencing connectivity issues with the iPhone.,2016-08-30 13:29:45,positive
Xiaomi,The display on the Xiaomi is so vibrant and clear.,2016-08-16 19:41:23,neutral
Google Pixel,The Google Pixel is really sleek and fast.,2016-09-13 20:12:37,positive
OnePlus,I'm impressed with the build quality of the OnePlus.,2016-09-08 16:34:24,positive
iPhone,Having some issues with my iPhone. Anyone else?,2016-08-10 06:11:36,negative
Google Pixel,I'm impressed with the build quality of the Google Pixel.,2016-08-10 19:42:13,positive
Xiaomi,I regret buying the Xiaomi. Not worth the money.,2016-09-04 02:21:22,positive
Google Pixel,Why is my Google Pixel overheating?,2016-09-15 22:02:56,negative
Samsung Galaxy,I regret buying the Samsung Galaxy. Not worth the money.,2016-09-29 05:45:21,positive
Samsung Galaxy,The Samsung Galaxy is really sleek and fast.,2016-07-18 11:29:29,neutral
Google Pixel,Experiencing connectivity issues with the Google Pixel.,2016-07-04 14:14:58,negative
Samsung Galaxy,Battery life on the Samsung Galaxy could be better.,2016-09-20 18:11:27,negative
Google Pixel,Not too impressed with the Google Pixel. Expected more.,2016-09-11 04:36:25,negative
Samsung Galaxy,I'm impressed with the build quality of the Samsung Galaxy.,2016-08-24 16:54:33,neutral
Samsung Galaxy,The Samsung Galaxy has exceeded my expectations!,2016-07-15 08:59:04,neutral
OnePlus,The OnePlus is a great value for the price.,2016-07-26 08:40:11,negative
iPhone,My iPhone runs all my apps smoothly.,2016-07-04 01:22:12,neutral
Samsung Galaxy,The Samsung Galaxy has exceeded my expectations!,2016-07-30 05:44:53,negative
Samsung Galaxy,Just got my new Samsung Galaxy! Loving it so far.,2016-09-12 14:40:10,negative
OnePlus,Battery life on the OnePlus is excellent.,2016-08-06 15:25:07,neutral
iPhone,Having some issues with my iPhone. Anyone else?,2016-08-17 20:50:20,negative
Google Pixel,The Google Pixel is a great value for the price.,2016-08-19 13:10:45,negative
Xiaomi,The camera on the Xiaomi is disappointing.,2016-07-16 10:34:22,neutral
OnePlus,The OnePlus is a great value for the price.,2016-08-11 09:01:09,neutral
iPhone,The camera quality on the iPhone is amazing.,2016-07-10 18:52:59,positive
OnePlus,The camera on the OnePlus is disappointing.,2016-08-14 03:24:30,positive
iPhone,The camera on the iPhone is disappointing.,2016-08-29 16:46:58,positive
Samsung Galaxy,My Samsung Galaxy runs all my apps smoothly.,2016-08-21 02:03:44,positive
Samsung Galaxy,Having some issues with my Samsung Galaxy. Anyone else?,2016-07-17 13:37:39,positive
Google Pixel,The Google Pixel is really sleek and fast.,2016-08-17 10:52:50,neutral
Samsung Galaxy,Experiencing connectivity issues with the Samsung Galaxy.,2016-08-14 04:59:32,positive
iPhone,Touchscreen on my iPhone is unresponsive at times.,2016-07-01 06:38:27,positive
OnePlus,My OnePlus runs all my apps smoothly.,2016-08-30 04:16:11,positive
iPhone,Why is my iPhone overheating?,2016-07-16 18:51:28,positive
Google Pixel,I regret buying the Google Pixel. Not worth the money.,2016-08-30 22:32:34,positive
Google Pixel,My Google Pixel runs all my apps smoothly.,2016-07-11 08:30:53,neutral
iPhone,My iPhone is slower than expected.,2016-09-27 10:38:02,neutral
iPhone,The iPhone is really sleek and fast.,2016-07-20 09:18:31,positive
OnePlus,The camera quality on the OnePlus is amazing.,2016-07-16 00:42:54,neutral
OnePlus,The OnePlus keeps crashing. Frustrated!,2016-07-19 08:57:46,positive
Xiaomi,The Xiaomi is a great value for the price.,2016-09-04 02:29:11,negative
iPhone,The iPhone has exceeded my expectations!,2016-07-14 15:07:47,negative
Xiaomi,The Xiaomi keeps crashing. Frustrated!,2016-08-27 12:56:24,positive
iPhone,Experiencing connectivity issues with the iPhone.,2016-07-12 22:39:41,neutral
iPhone,Just got my new iPhone! Loving it so far.,2016-07-27 06:40:06,negative
Xiaomi,The Xiaomi is a great value for the price.,2016-08-23 07:33:54,negative
iPhone,Experiencing connectivity issues with the iPhone.,2016-09-24 17:36:22,negative
iPhone,Experiencing connectivity issues with the iPhone.,2016-07-24 07:20:23,neutral
OnePlus,My OnePlus is slower than expected.,2016-08-19 14:47:40,negative
